ImageID;StampID;ImageType;ImageAdditionalDescription;ImageLink300px;ImageLink1000px
1;356;;;https://rssdabase.su/RSSDA/imagery/ar/300px/AR0535X.png;https://rssdabase.su/RSSDA/imagery/ar/1000px/AR0535X.png
2;356;;;https://rssdabase.su/RSSDA/imagery/ar/300px/AR0535Z.png;https://rssdabase.su/RSSDA/imagery/ar/1000px/AR0535Z.png
3;356;;;https://rssdabase.su/RSSDA/imagery/ar/300px/AR0535AS_GrSc-01.png;https://rssdabase.su/RSSDA/imagery/ar/1000px/AR0535AS_GrSc-01.png
4;357;;;https://rssdabase.su/RSSDA/imagery/ar/300px/AR0536X.png;https://rssdabase.su/RSSDA/imagery/ar/1000px/AR0536X.png
5;357;;;https://rssdabase.su/RSSDA/imagery/ar/300px/AR0536Z.png;https://rssdabase.su/RSSDA/imagery/ar/1000px/AR0536Z.png
6;357;;;https://rssdabase.su/RSSDA/imagery/ar/300px/AR0536AS_GrSc-01.png;https://rssdabase.su/RSSDA/imagery/ar/1000px/AR0536AS_GrSc-01.png
7;358;;;https://rssdabase.su/RSSDA/imagery/ar/300px/AR0537X.png;https://rssdabase.su/RSSDA/imagery/ar/1000px/AR0537X.png
8;358;;;https://rssdabase.su/RSSDA/imagery/ar/300px/AR0537Z.png;https://rssdabase.su/RSSDA/imagery/ar/1000px/AR0537Z.png
9;358;;;https://rssdabase.su/RSSDA/imagery/ar/300px/AR0537AS_GrSc-01.png;https://rssdabase.su/RSSDA/imagery/ar/1000px/AR0537AS_GrSc-01.png
10;359;;;https://rssdabase.su/RSSDA/imagery/ar/300px/AR0538X.png;https://rssdabase.su/RSSDA/imagery/ar/1000px/AR0538X.png
11;359;;;https://rssdabase.su/RSSDA/imagery/ar/300px/AR0538Z.png;https://rssdabase.su/RSSDA/imagery/ar/1000px/AR0538Z.png
12;359;;;https://rssdabase.su/RSSDA/imagery/ar/300px/AR0538AS_GrSc-01.png;https://rssdabase.su/RSSDA/imagery/ar/1000px/AR0538AS_GrSc-01.png
13;360;;;https://rssdabase.su/RSSDA/imagery/ar/300px/AR0539X.png;https://rssdabase.su/RSSDA/imagery/ar/1000px/AR0539X.png
14;360;;;https://rssdabase.su/RSSDA/imagery/ar/300px/AR0539Z.png;https://rssdabase.su/RSSDA/imagery/ar/1000px/AR0539Z.png
15;360;;;https://rssdabase.su/RSSDA/imagery/ar/300px/AR0539AS_GrSc-01.png;https://rssdabase.su/RSSDA/imagery/ar/1000px/AR0539AS_GrSc-01.png
16;361;;;https://rssdabase.su/RSSDA/imagery/ar/300px/AR0540X.png;https://rssdabase.su/RSSDA/imagery/ar/1000px/AR0540X.png
17;361;;;https://rssdabase.su/RSSDA/imagery/ar/300px/AR0540Z.png;https://rssdabase.su/RSSDA/imagery/ar/1000px/AR0540Z.png
18;361;;;https://rssdabase.su/RSSDA/imagery/ar/300px/AR0540AS_GrSc-01.png;https://rssdabase.su/RSSDA/imagery/ar/1000px/AR0540AS_GrSc-01.png
19;301;;;https://rssdabase.su/RSSDA/imagery/sf/300px/SF0019X.png;https://rssdabase.su/RSSDA/imagery/sf/1000px/SF0019X.png
20;301;;;https://rssdabase.su/RSSDA/imagery/sf/300px/SF0019Z.png;https://rssdabase.su/RSSDA/imagery/sf/1000px/SF0019Z.png
21;305;;;https://rssdabase.su/RSSDA/imagery/sf/300px/SF0020X.png;https://rssdabase.su/RSSDA/imagery/sf/1000px/SF0020X.png
22;305;;;https://rssdabase.su/RSSDA/imagery/sf/300px/SF0020Z.png;https://rssdabase.su/RSSDA/imagery/sf/1000px/SF0020Z.png
23;306;;;https://rssdabase.su/RSSDA/imagery/sf/300px/SF0021X.png;https://rssdabase.su/RSSDA/imagery/sf/1000px/SF0021X.png
24;306;;;https://rssdabase.su/RSSDA/imagery/sf/300px/SF0021Z.png;https://rssdabase.su/RSSDA/imagery/sf/1000px/SF0021Z.png
25;308;;;https://rssdabase.su/RSSDA/imagery/sf/300px/SF0022X.png;https://rssdabase.su/RSSDA/imagery/sf/1000px/SF0022X.png
26;308;;;https://rssdabase.su/RSSDA/imagery/sf/300px/SF0022Z.png;https://rssdabase.su/RSSDA/imagery/sf/1000px/SF0022Z.png
27;316;;;https://rssdabase.su/RSSDA/imagery/sf/300px/SF0023X.png;https://rssdabase.su/RSSDA/imagery/sf/1000px/SF0023X.png
28;316;;;https://rssdabase.su/RSSDA/imagery/sf/300px/SF0023Z.png;https://rssdabase.su/RSSDA/imagery/sf/1000px/SF0023Z.png
29;331;;;https://rssdabase.su/RSSDA/imagery/sf/300px/SF0024X.png;https://rssdabase.su/RSSDA/imagery/sf/1000px/SF0024X.png
30;331;;;https://rssdabase.su/RSSDA/imagery/sf/300px/SF0024Z.png;https://rssdabase.su/RSSDA/imagery/sf/1000px/SF0024Z.png
31;313;;;https://rssdabase.su/RSSDA/imagery/sf/300px/SF0025X.png;https://rssdabase.su/RSSDA/imagery/sf/1000px/SF0025X.png
