StampID;ArtifactID;StampPosition;StampPreservation;StampPreservationComment;StampReliefType;StampContentType;StampShapeType;StampAxisLarge;StampAxisSmall;StampOriginType;StampNameMagist;StampNameFabric;StampLegend;StampLegendComment;StampEmblem;StampDateText;StampDateEarly;StampDateLate;StampGroupFinkelstein;StampGroupGarlan;XImageLink300px;XImageLink1000px;ZImageLink300px;ZImageLink1000px;GImageLink300px;GImageLink1000px;StampComment;StampPublished
1;1;ручка;неполная;фото;позитивное;эпиграфное;подпрямоугольное;16;13;;;;"ΕΠ[Ι...]  ΠΑ[ΝΑΜΟΥ]";;нет;"Начало III-  -середина II вв. до н.э.";-300;-150;;;SF0134;SF0134;;;;;Имя эпонима не определяется.;
2;2;ручка;неполная;фото;позитивное;эпиграфное;округлое;24;24;;;;[ΕΠΙ Ε]ΥΚΛΕΥΣ ΥΑ[ΚΙΝΘΙΟΥ];;цветок граната;234-220 гг. до н.э.;-234;-220;II(а);;SF0145;SF0145;;;;;Эпоним Εὐκλῆς-2 II(а) хр. группа по Г.Финкильштейну.;
3;3;ручка;полная;фото;позитивное;эпиграфное;подпрямоугольное;24;8;;;;"ΜΙΚΥΘΟ[Υ] [Δ]ΑΛΙΟΣ";;нет;294-199 гг. до н.э.;-294;-199;I-II;;SF0144;SF0144;;;;;I-II хронологическая группа по Г. Финкильштейну.;
4;4;ручка;неполная;фото;позитивное;эпиграфное;подпрямоугольное;42;21;;;;"[ΑΣΤΥΝΟΜΟΥΝΤΟΣ] [ΠΟΣΙ]ΔΕΙ[ΟΥ] [ΤΟΥ ΘΕ]ΑΡΙΩΝΟΣ [ΗΡΑΚΛΕΙΔ]ΗΣ";;Геракл. облокотившийся на колонну с рогом изобилия в руке.;240-230 гг. до н.э.;-240;-230;;IV МГ(В);SF0313;SF0313;;;;;IV МГ(В) по И. Гарлану. 240-230 гг. до н.э. по Н.Ф. Федосееву.;
5;5;ручка;полная;фото;позитивное;эпиграфное;округлое;28;28;;;;[…]ΑΓΕ[…]Υ ΠΕ[Δ]ΑΓΕΙΤ[ΝΥΟΥ];;цветок граната;Вторая четверть-середина III в. до н.э.;-275;-225;;;SF0310;SF0310;;;;;Легенда плохо отпечаталась. имя не определяется.;
6;6;ручка;полная;фото;позитивное;эпиграфное;подпрямоугольное;37;18;;;;"Σ  ΑΡΙΣΤΑΡΧΟΥ  Α";;по четырём углам клейма семилучевые звёзды.;198-161 гг. до н.э.;-198;-161;III;;SF0309;SF0309;;;;;"Имя фабриканта вписано между буквами альфа и сигма.  III хр. группа по Г. Финкильштейну.";
7;7;ручка;неполная;фото;позитивное;эпиграфное;подпрямоугольное;32;30;;;;"ΠΥΘΙΩ[Ν] монограмма. эмблема [Θ]ΑΣΙΩΝ";;фригийский колпак и монограмма буквы «пи» и «ро» в лигатуре;287-281 гг. до н.э.;-287;-281;;VIII/14;SF0326;SF0326;;;;;"Хронологическая группа VIII/14 по И. Гарлану.  Магистрат Питион (III). обозначение этникона ретроградно";
8;8;ручка;полная;фото;позитивное;анэпиграфное;овальное;35;11;;;;нет;;краб и палица;III-II вв. до н.э.;-300;-100;;;SF0320;SF0320;;;;;;
9;9;ручка;неполная;фото;позитивное;эпиграфное;округлое;38;27;;;;ΕΠΙ[Ι]ΕΡΕΩ[Σ.......]ΔΑ;;цветок;Середина-вторая половина III в. до н.э.;-230;-200;;;SF0318;SF0318;;;;;Ретроградное. Клеймо повреждено. не определяется. Сохранился только эпонимный предлог и обозначение жреческого титула. Имя эпонима не определяется.;
10;10;ручка;неполная;фото;позитивное;эпиграфное;округлое;24;24;;;;[ΙΣΟΔΟ]ΤΟ;;нет;270-246 гг. до н.э.;-270;-246;;I-(b);SF0311;SF0311;;;;;Клеймо магистрата «button» группы. I-(b) хронологическая группа по Г. Финкильштейну.;
